codi_client,nom,marca,temporada,colleccio_client,seccio_client,familia_client,tipologia,target,construccio,garment_group,garment_type,garment_type_item,size_system,talles_model,talles_flag,talla_base,grading_rule_set,num_talles,num_colors,colors,segons_colors,num_packs,packs,variants,comprador,dissenyador,proveidor_id,proveidor,referencia_proveidor,teixit,composicio,fob_usd,cif,marge,tarifa,srp,mark_up,cost_sms,estat_proto,data_proto,estat_sms,produccio_aprovada,fitxa_mail,design_ready,patronatge_ready,sourcing_ready,enviament_amb_mostra,estat_erp,actiu,watchpoints
L27SB0101,MARINADA,LOSAN,SS27,TEEN BOY,T-SHIRT,PACIFIC WAVES,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,,REEF,,1,PACK 5 (08-16),,ALBERT PARREÑO,,400000005,FLORESCENT APPARELS LTD.,400000003,01SJ007 SINGLE JERSEY,100%COTTON 160GRS,2,,,5.18,12.95,2.5,3,,,,,false,true,true,false,false,Borrador,true,
L27SB0102,SOLANO,LOSAN,SS27,TEEN BOY,T-SHIRT,PACIFIC WAVES,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,1,WHITE,,1,PACK 5 (08-16),6,ALBERT PARREÑO,,400000005,FLORESCENT APPARELS LTD.,400000005,01SJ028 SLUB SINGLE JERSEY,100%COTTON 160GRS,2,,,5.18,12.95,2.5,3,,,,,false,true,true,false,false,Borrador,true,
L27SB0103,BRISA,LOSAN,SS27,TEEN BOY,T-SHIRT,PACIFIC WAVES,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,,MEDITERRANEAN BLUE,,1,PACK 5 (08-16),,ALBERT PARREÑO,,400000005,FLORESCENT APPARELS LTD.,400000003,01SJ007 SINGLE JERSEY,100%COTTON 160GRS,2,,,5.98,14.95,2.5,3,,,,,false,true,true,false,false,Borrador,true,
L27SB0104,ALISIO,LOSAN,SS27,TEEN BOY,T-SHIRT,PACIFIC WAVES,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,,WHITE,,1,PACK 5 (08-16),,ALBERT PARREÑO,,400000005,FLORESCENT APPARELS LTD.,400000005,01SJ007 SINGLE JERSEY,100%COTTON 160GRS,1.95,,,4.38,10.95,2.5,2.93,,,,,false,true,true,false,false,Borrador,true,
L27SB0105,ZEFIRO,LOSAN,SS27,TEEN BOY,T-SHIRT,PACIFIC WAVES,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,2,LIME || REEF,MINT || INDIGO,1,PACK 5 (08-16),12,ALBERT PARREÑO,,400000005,FLORESCENT APPARELS LTD.,400000003,01SJ007 SINGLE JERSEY,100%COTTON 160GRS,1.95,,,3.18,7.95,2.5,2.93,,,,,false,true,true,false,false,Borrador,true,
L27SB0106,SOUL,LOSAN,SS27,TEEN BOY,T-SHIRT,RACING SOCIETY,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,2,POPPY RED,STEEL GREY,1,PACK 5 (08-16),12,ALBERT PARREÑO,,400000003,EUROTEX FASHION LIMITED,,01SJ007 SINGLE JERSEY,100%COTTON 160GRS,2.3,,,3.98,9.95,2.5,3.45,,,,,false,true,true,false,false,Borrador,true,
L27SB0107,DISCOVER,LOSAN,SS27,TEEN BOY,T-SHIRT,DESTINATION ADRENALINE,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,2,ULTRAMARINE BLUE,DEEP GREY || AQUA GREEN,1,PACK 5 (08-16),12,ALBERT PARREÑO,,400000003,EUROTEX FASHION LIMITED,,01SJ007 SINGLE JERSEY,100%COTTON 160GRS,1.94,,,3.58,8.95,2.5,2.91,,,,,false,true,true,false,false,Borrador,true,
L27SB0108,PARADISE,LOSAN,SS27,TEEN BOY,T-SHIRT,VINTAGE SURF,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,2,SWIMMING POOL,ULTRAMARINE BLUE || DEEP GREY,1,PACK 5 (08-16),12,ALBERT PARREÑO,,400000003,EUROTEX FASHION LIMITED,,01SJ007 SINGLE JERSEY,100%COTTON 160GRS,1.75,,,2.78,6.95,2.5,2.63,,,,,false,true,true,false,false,Borrador,true,
L27SB0109,SKY,LOSAN,SS27,TEEN BOY,T-SHIRT,SUMMER TOUR,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,2,APRICOT,OFF WHITE || POPPY RED,1,PACK 5 (08-16),12,ALBERT PARREÑO,,400000003,EUROTEX FASHION LIMITED,,01SJ007 SINGLE JERSEY,100%COTTON 160GRS,1.9,,,3.58,8.95,2.5,2.85,,,,,false,true,true,false,false,Borrador,true,
L27SB0110,PARANA,LOSAN,SS27,TEEN BOY,T-SHIRT,CHIRINGUITO FOREVER,Refresh,TEEN_BOY,KNIT,TOPS,JERSEY_TOPS,t_shirt,YOUTH_BOY_LOS_01,8; 10; 12; 14; 16,COMPLET,8,LOS Teen Boy Knit — Tops,5,2,POPPY RED || WHITE,FLAG GREEN || OCEAN BLUE,1,PACK 5 (08-16),12,ALBERT PARREÑO,,400000011,LEXEL KNITWEAR LIMITED,,01SJ007 SINGLE JERSEY,100%COTTON 160GRS,2.9,,,4.78,11.95,2.5,4.35,,,,,false,true,true,false,false,Borrador,true,
