PROPIETAT	/	/models	/models/nou	/fitxa-tecnica	/fittings	/task-types	/garment-types	/cataleg-peces	/suppliers	/recursos	/encarrecs	/clients	/comercial/productes	/comercial/ofertes	/comercial/condicions-pagament	/comercial/comandes	/comercial/encarrecs	/comercial/orfes	/comercial/albarans	/planificacio	/planificacio/calendari	/temps	/poms	/poms/grading	/size-library	/disseny/documents	/configuracio/general	/configuracio/usuaris	/configuracio/calendari	/perfil	/onboarding
titol_pagina.fontSize	22px	18px	22px	22px	22px	22px	22px	18px	22px	22px	22px	18px	22px	18px	22px	18px	18px	18px	18px	22px	22px	22px	18px	22px	18px	16px	18px	22px	22px	22px	22px
titol_pagina.fontWeight	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	600	500	500	400	500	500	500	500	500
titol_pagina.lineHeight	33px	27px	33px	33px	33px	33px	33px	27px	33px	33px	33px	27px	33px	27px	33px	27px	27px	27px	27px	33px	33px	33px	27px	33px	27px	24px	27px	33px	33px	33px	33px
titol_pagina.fontFamily	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO	MONO
titol_pagina.color	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(29, 29, 27)	rgb(194, 122, 42)
titol_pagina.textTransform	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
subtitol.fontSize	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	12px	10px	12px	12px	12px	12px	12px	12px	12px	16px
subtitol.fontWeight	400	400	400	400	300	300	300	400	300	300	300	300	300	300	300	300	300	300	300	300	300	300	400	300	400	400	300	300	300	300	400
subtitol.lineHeight	18px	18px	18px	18px	18px	18px	18px	19.8px	18px	18px	18px	18px	18px	18px	18px	18px	18px	18px	18px	18px	18px	18px	15px	18px	18px	18px	18px	18px	18px	18px	24px
subtitol.color	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(134, 134, 133)	rgb(29, 29, 27)
