joc;pom_codi;regim;logica;talla_base;increment_base;increment_break;talla_break_label;talla_break_pos;breaks;valors_step;increment_llegat;actiu;hash_fila;pk_local
GRADING BROWNIE 2026;A;LINEAR;LINEAR;XXS;2.00;3.00;S;\N;[];{};2.00;1;c2996a7140500e18;3072
GRADING BROWNIE 2026;A1;LINEAR;LINEAR;XXS;1.00;1.50;S;\N;[];{};1.00;1;407d9679ae1ea09a;3073
GRADING BROWNIE 2026;B;LINEAR;LINEAR;XXS;2.00;3.00;S;\N;[];{};2.00;1;5d9d612d8211cb2b;3074
GRADING BROWNIE 2026;BF;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;de63b7908d797160;3076
GRADING BROWNIE 2026;BL;LINEAR;LINEAR;XXS;1.00;1.50;M;\N;[];{};1.00;1;bd366733a324965b;3079
GRADING BROWNIE 2026;BR;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;63fb7193c596c80f;3077
GRADING BROWNIE 2026;BR1;LINEAR;LINEAR;XXS;0.20;0.30;S;\N;[];{};0.20;1;6639669e7212cb05;3078
GRADING BROWNIE 2026;BT;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;20bc87e9555ff8aa;3075
GRADING BROWNIE 2026;BW;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;256f9a7ca14adb8f;3080
GRADING BROWNIE 2026;C;LINEAR;LINEAR;XXS;1.50;2.00;S;\N;[];{};1.50;1;070c9872cc7f4dac;3081
GRADING BROWNIE 2026;CB1;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;3659ae4e30ebd942;3113
GRADING BROWNIE 2026;CP;LINEAR;LINEAR;XXS;0.15;0.20;S;\N;[];{};0.15;1;d7323e04cf5996a7;3112
GRADING BROWNIE 2026;CR;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;125ee3a9fee7ec2b;3083
GRADING BROWNIE 2026;CR1;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;0855dbe12df534c9;3084
GRADING BROWNIE 2026;CR2;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;344f2aac73737161;3087
GRADING BROWNIE 2026;CR3;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;d5736e234e78fe22;3085
GRADING BROWNIE 2026;CR4;LINEAR;LINEAR;XXS;0.85;1.25;S;\N;[];{};0.85;1;21a52c5de468a041;3086
GRADING BROWNIE 2026;CT;LINEAR;LINEAR;XXS;1.20;1.80;S;\N;[];{};1.20;1;2e9ee215c0c2d886;3082
GRADING BROWNIE 2026;D;LINEAR;LINEAR;XXS;2.00;3.00;S;\N;[];{};2.00;1;84b164638b50471e;3088
GRADING BROWNIE 2026;E;LINEAR;LINEAR;XXS;1.00;1.50;S;\N;[];{};1.00;1;de427f7a6a226cd0;3089
GRADING BROWNIE 2026;E1;LINEAR;LINEAR;XXS;0.25;0.40;S;\N;[];{};0.25;1;ed450011ef4f094d;3090
GRADING BROWNIE 2026;E2;LINEAR;LINEAR;XXS;1.00;1.50;S;\N;[];{};1.00;1;28529f0d7ae75b4a;3091
GRADING BROWNIE 2026;E3;LINEAR;LINEAR;XXS;1.00;1.50;S;\N;[];{};1.00;1;c2b2496390d50bbf;3092
GRADING BROWNIE 2026;E4;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;ce6db6e42419833c;3093
GRADING BROWNIE 2026;E5;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;2b4827ec3fee5415;3094
GRADING BROWNIE 2026;E6;LINEAR;LINEAR;XXS;0.15;0.20;S;\N;[];{};0.15;1;0ddef79c6c6714c9;3100
GRADING BROWNIE 2026;E7;LINEAR;LINEAR;XXS;0.15;0.20;S;\N;[];{};0.15;1;49a59f6d7e4bbb8a;3101
GRADING BROWNIE 2026;E8;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;c64c97995a00515b;3102
GRADING BROWNIE 2026;E88;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;62742df254490651;3103
GRADING BROWNIE 2026;EB;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;317a68c992eac537;3110
GRADING BROWNIE 2026;EC;LINEAR;LINEAR;XXS;0.15;0.20;S;\N;[];{};0.15;1;651549425c6927e5;3104
GRADING BROWNIE 2026;EK;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;3e17f3bc879160c7;3095
GRADING BROWNIE 2026;EK1;LINEAR;LINEAR;XXS;0.25;0.40;S;\N;[];{};0.25;1;ebf566e5f357cbec;3096
GRADING BROWNIE 2026;EK2;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;15581fac6199acab;3097
GRADING BROWNIE 2026;EK4;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;348191555109e2cf;3098
GRADING BROWNIE 2026;EKK;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;da447d948d719b9f;3099
GRADING BROWNIE 2026;EL;LINEAR;LINEAR;XXS;0.20;0.30;S;\N;[];{};0.20;1;fab9a3c2ac9c5849;3105
GRADING BROWNIE 2026;EL1;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;03e7e4a495f8a75f;3106
GRADING BROWNIE 2026;EL2;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;40fe087121f9a7dd;3107
GRADING BROWNIE 2026;EL3;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;750317a75e543653;3108
GRADING BROWNIE 2026;EP;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;f559c9e79e62e8d6;3109
GRADING BROWNIE 2026;F;LINEAR;LINEAR;XXS;1.00;1.50;M;\N;[];{};1.00;1;0f7dfd2a04b6603d;3114
GRADING BROWNIE 2026;F1;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;accd04251f8ad86e;3116
GRADING BROWNIE 2026;F2;LINEAR;LINEAR;XXS;1.00;1.50;M;\N;[];{};1.00;1;4f7a83236a1b9756;3117
GRADING BROWNIE 2026;F3;LINEAR;LINEAR;XXS;1.00;1.50;M;\N;[];{};1.00;1;0bd29b68df9358fa;3118
GRADING BROWNIE 2026;F4;LINEAR;LINEAR;XXS;1.00;1.50;M;\N;[];{};1.00;1;5373769fe621e574;3119
GRADING BROWNIE 2026;FB;LINEAR;LINEAR;XXS;1.00;1.50;M;\N;[];{};1.00;1;ee68fb236efaf407;3120
GRADING BROWNIE 2026;FC;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;d311b04605adad5d;3121
GRADING BROWNIE 2026;FD;LINEAR;LINEAR;XXS;0.70;1.10;S;\N;[];{};0.70;1;c66634202d1af36c;3122
GRADING BROWNIE 2026;FE;LINEAR;LINEAR;XXS;0.90;1.50;S;\N;[];{};0.90;1;0bfacce32a4b7e0e;3123
GRADING BROWNIE 2026;FF;LINEAR;LINEAR;XXS;1.00;1.50;M;\N;[];{};1.00;1;be6184463ff1f3f2;3115
GRADING BROWNIE 2026;FI;LINEAR;LINEAR;XXS;0.00;0.50;S;\N;[];{};0.00;1;12d3eb6ddaa6381e;3124
GRADING BROWNIE 2026;FJ;LINEAR;LINEAR;XXS;3.00;3.50;S;\N;[];{};3.00;1;3baf9f823c2be074;3129
GRADING BROWNIE 2026;FR;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;97ccfaa740e10bf2;3125
GRADING BROWNIE 2026;FS;LINEAR;LINEAR;XXS;0.50;1.00;M;\N;[];{};0.50;1;69fc8262e50226c9;3126
GRADING BROWNIE 2026;FS5;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;eee48e5d3c6730e3;3128
GRADING BROWNIE 2026;FT;LINEAR;LINEAR;XXS;0.50;1.00;M;\N;[];{};0.50;1;7cf8c4a8472ff4b6;3127
GRADING BROWNIE 2026;G1;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;a07fd6732e8c1fdd;3130
GRADING BROWNIE 2026;GD;LINEAR;LINEAR;XXS;1.00;1.50;M;\N;[];{};1.00;1;9b2f3e9128f8dd53;3131
GRADING BROWNIE 2026;GD1;LINEAR;LINEAR;XXS;1.00;1.50;M;\N;[];{};1.00;1;90ce589d83275801;3132
GRADING BROWNIE 2026;H1;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;34b6777677ad5411;3136
GRADING BROWNIE 2026;HL;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;f7544136d505530c;3133
GRADING BROWNIE 2026;HO;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;41a0d7f415ff6f17;3135
GRADING BROWNIE 2026;HP;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;c93ee385d60c2d15;3137
GRADING BROWNIE 2026;HW;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;82ad942dce545031;3134
GRADING BROWNIE 2026;I;LINEAR;LINEAR;XXS;0.70;1.00;S;\N;[];{};0.70;1;f5642e06adcde3a6;3138
GRADING BROWNIE 2026;I2;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;97969ef36fb4602d;3139
GRADING BROWNIE 2026;I3;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;1abf8882368de5b5;3140
GRADING BROWNIE 2026;I4;LINEAR;LINEAR;XXS;1.50;1.75;S;\N;[];{};1.50;1;4ed93dd6b4055524;3141
GRADING BROWNIE 2026;I5;LINEAR;LINEAR;XXS;1.00;1.25;S;\N;[];{};1.00;1;9e2a553bc131d97a;3142
GRADING BROWNIE 2026;I6;LINEAR;LINEAR;XXS;0.70;1.00;S;\N;[];{};0.70;1;af31a5e03f4887fd;3143
GRADING BROWNIE 2026;I7;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;b0271f34dde1b2e6;3144
GRADING BROWNIE 2026;IC;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;2ad7eb0f28c16123;3145
GRADING BROWNIE 2026;IC1;LINEAR;LINEAR;XXS;0.20;0.30;S;\N;[];{};0.20;1;f1372af777a66dbe;3146
GRADING BROWNIE 2026;IC2;LINEAR;LINEAR;XXS;0.20;0.30;S;\N;[];{};0.20;1;eecc4972b404abed;3147
GRADING BROWNIE 2026;J;LINEAR;LINEAR;XXS;0.60;0.80;S;\N;[];{};0.60;1;89e090520778bc56;3148
GRADING BROWNIE 2026;J1;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;1e2443519b577957;3149
GRADING BROWNIE 2026;J3;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;73ae934ba86b969b;3150
GRADING BROWNIE 2026;JJ;LINEAR;LINEAR;XXS;0.40;0.60;S;\N;[];{};0.40;1;7c1d9ec8df7bee15;3151
GRADING BROWNIE 2026;JTA;LINEAR;LINEAR;XXS;0.50;0.75;S;\N;[];{};0.50;1;9dc275860e9ef07e;3152
GRADING BROWNIE 2026;K;LINEAR;LINEAR;XXS;0.15;0.20;S;\N;[];{};0.15;1;881c752ba54b9649;3153
GRADING BROWNIE 2026;KB;LINEAR;LINEAR;XXS;0.15;0.20;S;\N;[];{};0.15;1;e7705a6872007009;3154
GRADING BROWNIE 2026;KU;LINEAR;LINEAR;XXS;0.15;0.20;S;\N;[];{};0.15;1;2fc8782854a61b39;3155
GRADING BROWNIE 2026;L;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;b64466dc620e6303;3156
GRADING BROWNIE 2026;L1;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;9e2c754ef0812e7c;3157
GRADING BROWNIE 2026;M;LINEAR;LINEAR;XXS;1.20;1.80;S;\N;[];{};1.20;1;c36ee2efd04ffc18;3161
GRADING BROWNIE 2026;N;LINEAR;LINEAR;XXS;0.30;0.50;S;\N;[];{};0.30;1;fa7c7fefa1128141;3162
GRADING BROWNIE 2026;NF;FIXED;FIXED;XXS;\N;\N;\N;\N;[];{};0.00;1;8c625561a6e416c2;3163
