codi;nom_en;familia;regim;logica;d_xxs_xs;d_xs_s;d_s_m;d_m_l;trenca;ancoratge;capa_defecte;seccio
A;1/2 chest width (armpit to armpit);A;Amplada;LINEAR+BREAK;2;3;3;3;XS;Cota;exterior;PIT I SOTA-PIT (A)
A1;Underbust width;A;Amplada;LINEAR+BREAK;1;1.5;1.5;1.5;XS;Cota;exterior;PIT I SOTA-PIT (A)
B;Waist width;B;Amplada;LINEAR+BREAK;2;3;3;3;XS;Cota;exterior;CINTURA I ENTORN (B)
BT;Waist position from HPS;B;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;CINTURA I ENTORN (B)
BF;Waistband height;B;Fix;FIXED;0;0;0;0;—;Component;exterior;CINTURA I ENTORN (B)
BR;Fly width;B;Fix;FIXED;0;0;0;0;—;Component;exterior;CINTURA I ENTORN (B)
BR1;Fly length;B;Llarg;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS;Tirada;exterior;CINTURA I ENTORN (B)
BL;Fold length;B;Llarg;LINEAR+BREAK;1;1;1.5;1.5;S;Tirada;exterior;CINTURA I ENTORN (B)
BW;Fold width;B;Fix;FIXED;0;0;0;0;—;Cota;exterior;CINTURA I ENTORN (B)
C;Hip width;C;Amplada;LINEAR+BREAK;1.5;2;2;2;XS;Cota;exterior;CADERA, CUIXA I ENTRECUIX (C)
CT;Thigh width;C;Amplada;LINEAR+BREAK;1.2;1.8;1.8;1.8;XS;Cota;exterior;CADERA, CUIXA I ENTRECUIX (C)
CR;Front crotch width;C;Amplada;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Cota;exterior;CADERA, CUIXA I ENTRECUIX (C)
CR1;Back crotch width;C;Amplada;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Cota;exterior;CADERA, CUIXA I ENTRECUIX (C)
CR3;Crotch width placement;C;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;CADERA, CUIXA I ENTRECUIX (C)
CR4;Crotch length;C;Llarg;LINEAR+BREAK;0.85;1.25;1.25;1.25;XS;Tirada;exterior;CADERA, CUIXA I ENTRECUIX (C)
CR2;Zipper;C;Fix;FIXED;0;0;0;0;—;Component;fornitura;CADERA, CUIXA I ENTRECUIX (C)
D;Bottom width;D;Amplada;LINEAR+BREAK;2;3;3;3;XS;Cota;exterior;BAIX DEL COS (D)
E;Shoulder to shoulder;E;Amplada;LINEAR+BREAK;1;1.5;1.5;1.5;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
E1;Shoulder width at true shoulder;E;Amplada;LINEAR+BREAK;0.25;0.4;0.4;0.4;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
E2;Across front width (11 cm from HPS);E;Amplada;LINEAR+BREAK;1;1.5;1.5;1.5;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
E3;Across back width (11 cm from HPS);E;Amplada;LINEAR+BREAK;1;1.5;1.5;1.5;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
E4;Shoulder forward;E;Fix;FIXED;0;0;0;0;—;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
E5;Shoulder drop (from HPS to shoulder point);E;Fix;FIXED;0;0;0;0;—;Caiguda;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EK;Neck width;E;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EK1;Front neck drop from HPS;E;Amplada;LINEAR+BREAK;0.25;0.4;0.4;0.4;XS;Caiguda;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EK2;Back neck drop from HPS;E;Fix;FIXED;0;0;0;0;—;Caiguda;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EK4;Neckline contour;E;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Tirada;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EKK;Back neckline width;E;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
E6;Front collar panel height;E;Amplada;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
E7;Centre collar panel height;E;Amplada;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
E8;Collar panel length;E;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Tirada;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
E88;Collar join;E;Amplada;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EC;Collar point length;E;Amplada;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EL;Lapel width;E;Amplada;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EL1;Lapel length;E;Llarg;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS;Tirada;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EL2;Gorge height;E;Col·locació;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS;Caiguda;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EL3;Lapel notch opening;E;Fix;FIXED;0;0;0;0;—;Cota;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EP;Collar height;E;Fix;FIXED;0;0;0;0;—;Component;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
EB;Neck binding width;E;Fix;FIXED;0;0;0;0;—;Component;exterior;COLL · ESPATLLA · ESCOT · SOLAPA (E)
