client_code;pom_canonic;capa_proposta;instancia_proposta;descripcions_cobertes
0;SLT;exterior;;"Back opening length; Front opening length / CF slit; Opening at sleeve"
A;A;exterior;;"1/2 chest width (armpit to armpit); 1/2 front chest width (armpit to armpit)"
AA;Y;exterior;«Back bottom piece» · pos. TOP · relaxed;1/2 back bottom piece width at top relaxed
AA1;Y;exterior;«Back bottom piece» · pos. TOP · estat extended;1/2 back bottom piece width at top stretched out
B;B;exterior;;"1/2 waist width; 1/2 waist width at the top"
B0;U2;exterior;;First button position
BB;B;exterior;pos. BOTTOM;1/2 waist width at the bottom
BF;BF;exterior;;Waistband height
BF1;BF;exterior;pos. CF;Height at CF
BF2;BF;exterior;pos. RIGHT;Height at the right side when wearing
BF3;BF;exterior;pos. LEFT;Height at the left side when wearing
BF4;BF;exterior;inst. lliure «Longest point»;Height at the longest point
BR;BR;exterior;;Ancho bragueta / fly width
BR1;BR1;exterior;;Largo dibujo bragueta / fly draw length
BT;BT;exterior;;Waist position from HPS
BW;QTD;exterior;;Pleat depth
C;C;exterior;;"1/2 hip width; Ancho total cadera / hip width"
CO;YP;exterior;;"Cut out from HPS; Cut out from shoulder seam at the front"
CO1;YP;exterior;pos. CB;Cut out from shoulder seam at the back
CO2;YC1;exterior;;Cut out from shoulder to sleeve
CT;CT;folre/exterior;;1/2 thigh width / ancho muslo
D1;D;exterior;estat EXTENDED;1/2 bottom width extended / stretched out
E;E;exterior;;Shoulder to shoulder
E1;E1;exterior;;"Shoulder seam; Shoulder width at true shoulder"
E2;E2;exterior;;"Across front width (11 cm from HPS); Across front width (16 cm from HPS); Across front width relaxed"
E22;E2;exterior;estat EXTENDED;Across front width total width
E3;E3;exterior;;Across back width (11 cm from HPS)
E4;E4;exterior;;Shoulder Forward
E5;E5;exterior;;Shoulder drop (from HPS to shoulder point)
EK1;EK1;exterior;;"Front neck drop from HPS to edge; Front neck drop from HPS to middle of first button; Front neck drop from HPS to seam"
EK2;EK2;exterior;datum SEAM / EDGE;Back neck drop from HPS to seam / to edge
EK3;EK2;exterior;datum COLLAR;Back neck drop length at collar
F11;F2;exterior;estat EXTENDED;Total side length extended
FB1;FF;exterior;datum VISIBLE;TOP: Centre back length (visible)
FB2;F;folre;datum VISIBLE;TOP LINING: Centre front length (visible)
FB3;FF;folre;datum VISIBLE;TOP LINING: Centre back length (visible)
FC;FC;exterior;;Hip position from top edge / posición cadera
FD;FD;exterior;datum INCL. CINTURILLA;Tiro delantero desde cinturilla / Front rise (waistband included)
FE;FE;folre/exterior;;"Back rise (excl. waistband); Back rise length (waistband included)"
