codi;logica;d_xxs_xs;d_xs_s;d_s_m;d_m_l;talla_break
A;LINEAR+BREAK;2;3;3;3;XS
A1;LINEAR+BREAK;1;1.5;1.5;1.5;XS
B;LINEAR+BREAK;2;3;3;3;XS
BT;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
BF;FIXED;0;0;0;0;—
BR;FIXED;0;0;0;0;—
BR1;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS
BL;LINEAR+BREAK;1;1;1.5;1.5;S
BW;FIXED;0;0;0;0;—
C;LINEAR+BREAK;1.5;2;2;2;XS
CT;LINEAR+BREAK;1.2;1.8;1.8;1.8;XS
CR;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
CR1;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
CR3;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
CR4;LINEAR+BREAK;0.85;1.25;1.25;1.25;XS
CR2;FIXED;0;0;0;0;—
D;LINEAR+BREAK;2;3;3;3;XS
E;LINEAR+BREAK;1;1.5;1.5;1.5;XS
E1;LINEAR+BREAK;0.25;0.4;0.4;0.4;XS
E2;LINEAR+BREAK;1;1.5;1.5;1.5;XS
E3;LINEAR+BREAK;1;1.5;1.5;1.5;XS
E4;FIXED;0;0;0;0;—
E5;FIXED;0;0;0;0;—
EK;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
EK1;LINEAR+BREAK;0.25;0.4;0.4;0.4;XS
EK2;FIXED;0;0;0;0;—
EK4;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
EKK;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
E6;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS
E7;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS
E8;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
E88;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
EC;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS
EL;LINEAR+BREAK;0.2;0.3;0.3;0.3;XS
EL1;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
EL2;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
EL3;FIXED;0;0;0;0;—
EP;FIXED;0;0;0;0;—
EB;FIXED;0;0;0;0;—
PC;FIXED;0;0;0;0;—
CP;LINEAR+BREAK;0.15;0.2;0.2;0.2;XS
CB1;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
F;LINEAR+BREAK;1;1;1.5;1.5;S
FF;LINEAR+BREAK;1;1;1.5;1.5;S
F1;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
F2;LINEAR+BREAK;1;1;1.5;1.5;S
F3;LINEAR+BREAK;1;1;1.5;1.5;S
F4;LINEAR+BREAK;1;1;1.5;1.5;S
FB;LINEAR+BREAK;1;1;1.5;1.5;S
FC;LINEAR+BREAK;0.3;0.5;0.5;0.5;XS
FD;LINEAR+BREAK;0.7;1.1;1.1;1.1;XS
FE;LINEAR+BREAK;0.9;1.5;1.5;1.5;XS
FI;LINEAR+BREAK;0;0.5;0.5;0.5;XS
FR;LINEAR+BREAK;0.5;0.75;0.75;0.75;XS
FS;LINEAR+BREAK;0.5;0.5;1;1;S
FT;LINEAR+BREAK;0.5;0.5;1;1;S
FS5;FIXED;0;0;0;0;—
FJ;LINEAR+BREAK;3;3.5;3.5;3.5;XS
G1;FIXED;0;0;0;0;—
GD;LINEAR+BREAK;1;1;1.5;1.5;S
GD1;LINEAR+BREAK;1;1;1.5;1.5;S
